iter	MultiClass
0	4.352490453
1	4.335081242
2	4.319117341
3	4.303213253
4	4.286456616
5	4.270022861
6	4.254701243
7	4.238790386
8	4.223819875
9	4.209057927
10	4.192940265
11	4.177345335
12	4.161996294
13	4.147285678
14	4.13226012
15	4.11680963
16	4.102678429
17	4.088454243
18	4.074233217
19	4.058329605
20	4.04465566
21	4.031565713
22	4.017957063
23	4.003091534
24	3.988734234
25	3.974096758
26	3.961577974
27	3.949000916
28	3.935483211
29	3.922337332
30	3.908698218
31	3.894787555
32	3.881240355
33	3.869077147
34	3.854178785
35	3.84153104
36	3.827672336
37	3.815378922
38	3.801443719
39	3.78937521
40	3.775465807
41	3.761173209
42	3.748846898
43	3.737904511
44	3.723896918
45	3.71271723
46	3.701910798
47	3.688457924
48	3.678515497
49	3.668907923
50	3.660337608
51	3.649476407
52	3.637087489
53	3.626120204
54	3.617890242
55	3.605973849
56	3.594713049
57	3.580978172
58	3.569797658
59	3.560567277
60	3.548768881
61	3.54051365
62	3.527368093
63	3.515232946
64	3.506235932
65	3.495009612
66	3.483436206
67	3.474250486
68	3.461898096
69	3.455079197
70	3.443827115
71	3.433554132
72	3.422809851
73	3.414251861
74	3.402689595
75	3.392100773
76	3.38129954
77	3.370151559
78	3.359969402
79	3.350032457
80	3.337914617
81	3.327429424
82	3.319772248
83	3.308922112
84	3.296068297
85	3.286053373
86	3.276159786
87	3.267100614
88	3.25895903
89	3.250080036
90	3.237843737
91	3.231313215
92	3.222251811
93	3.209466073
94	3.200378273
95	3.193415356
96	3.184720897
97	3.175336079
98	3.167036797
99	3.157228632
100	3.14601728
101	3.136591745
102	3.129837239
103	3.120449346
104	3.110753608
105	3.104488818
106	3.095669084
107	3.085004175
108	3.07363388
109	3.064404895
110	3.05693748
111	3.0493795
112	3.037334806
113	3.029484002
114	3.018864566
115	3.007937259
116	2.998884003
117	2.98830469
118	2.978760185
119	2.970900296
120	2.960250889
121	2.95288044
122	2.946884735
123	2.939813499
124	2.928780426
125	2.917567242
126	2.908527905
127	2.899870954
128	2.888021557
129	2.878728571
130	2.869541335
131	2.859681266
132	2.848883423
133	2.838864891
134	2.829552551
135	2.82407458
136	2.815001535
137	2.809963351
138	2.802907717
139	2.792078145
140	2.782242178
141	2.771250359
142	2.76145078
143	2.753928748
144	2.746453466
145	2.740631641
146	2.73324828
147	2.723082644
148	2.711868837
149	2.703280361
150	2.695433925
151	2.687834873
152	2.679057733
153	2.671987997
154	2.66279612
155	2.653826081
156	2.644607606
157	2.639920767
158	2.63223416
159	2.629553206
160	2.623927596
161	2.616090228
162	2.607375215
163	2.599204141
164	2.591411149
165	2.581364062
166	2.578770139
167	2.570692571
168	2.566141755
169	2.555870245
170	2.548744454
171	2.546615115
172	2.539203409
173	2.531225874
174	2.523270747
175	2.519416731
176	2.511298469
177	2.502549756
178	2.495388401
179	2.485642312
180	2.481718031
181	2.472442087
182	2.465141838
183	2.459553778
184	2.452713374
185	2.444082891
186	2.435601274
187	2.426926738
188	2.418960569
189	2.410843423
190	2.404470606
191	2.394981615
192	2.388185546
193	2.382547047
194	2.37480638
195	2.367879908
196	2.359121789
197	2.350911594
198	2.343041704
199	2.33557332
200	2.327365376
201	2.319919832
202	2.31121398
203	2.310115533
204	2.307705228
205	2.302001378
206	2.293461285
207	2.285776941
208	2.276593325
209	2.271958657
210	2.265649687
211	2.25800411
212	2.24936218
213	2.241292726
214	2.236330932
215	2.228723256
216	2.220948227
217	2.213797803
218	2.210745174
219	2.203866909
220	2.197839153
221	2.189312341
222	2.182132344
223	2.173240074
224	2.165338587
225	2.157980421
226	2.150660874
227	2.142554019
228	2.138919386
229	2.13171523
230	2.125775559
231	2.122126546
232	2.114853703
233	2.107818526
234	2.101181413
235	2.094004924
236	2.087473124
237	2.085492536
238	2.077598668
239	2.072942809
240	2.065978963
241	2.056972166
242	2.050327342
243	2.044047146
244	2.037010746
245	2.02968506
246	2.023439363
247	2.018558679
248	2.0125468
249	2.006593113
250	2.000930742
251	1.992843864
252	1.98802657
253	1.981348277
254	1.978503014
255	1.973058632
256	1.966166863
257	1.960045232
258	1.954849624
259	1.951381039
